gt_type,scram_cond,stim_num,run,subject,lag,kappa
periodic,2B,1,1,15,2,0.05862068965517242
periodic,2B,1,1,16,2,-0.04672897196261694
periodic,2B,1,1,17,2,0.14936708860759496
periodic,2B,1,1,18,2,-0.08914100486223675
periodic,2B,1,1,19,2,0.08695652173913038
periodic,2B,1,1,20,2,0.07182320441988943
periodic,2B,1,1,21,2,0.10447761194029848
periodic,2B,1,1,22,2,0.0
periodic,2B,1,1,23,2,0.04700162074554293
periodic,2B,1,1,24,2,-0.07905138339920947
periodic,2B,1,1,25,2,-0.035211267605633756
periodic,2B,1,1,26,2,0.0
periodic,2B,1,1,27,2,0.08695652173913038
periodic,2B,1,1,28,2,-0.08914100486223675
periodic,2B,1,1,29,2,-0.06329113924050622
periodic,2B,1,1,30,2,-0.05586592178770955
periodic,2B,1,1,31,2,-0.04672897196261694
periodic,2B,1,1,32,2,-0.035211267605633756
periodic,2B,1,1,33,2,-0.09406657018813314
periodic,2B,1,1,34,2,-0.05586592178770955
periodic,2B,1,1,35,2,0.08695652173913038
periodic,2B,1,1,36,2,0.10447761194029848
periodic,2B,1,1,37,2,-0.09406657018813314
periodic,2B,1,1,38,2,-0.09406657018813314
periodic,2B,1,1,39,2,-0.020242914979756943
periodic,2B,1,1,40,2,-0.035211267605633756
periodic,2B,1,1,41,2,-0.04672897196261694
periodic,2B,1,1,42,2,0.04700162074554293
periodic,2B,1,1,0,3,-0.10107391029690449
periodic,2B,1,1,1,3,-0.08395522388059695
periodic,2B,1,1,2,3,-0.056577086280056754
periodic,2B,1,1,3,3,-0.035650623885918
periodic,2B,1,1,4,3,-0.09295120061967466
periodic,2B,1,1,5,3,-0.07033997655334123
periodic,2B,1,1,6,3,-0.07559395248380119
periodic,2B,1,1,7,3,-0.0873362445414847
periodic,2B,1,1,8,3,-0.056577086280056754
periodic,2B,1,1,9,3,-0.04731861198738163
periodic,2B,1,1,10,3,0.02639296187683271
periodic,2B,1,1,11,3,0.0
periodic,2B,1,1,12,3,0.0
periodic,2B,1,1,13,3,-0.020491803278688492
periodic,2B,1,1,14,3,-0.013318534961154205
periodic,2B,1,1,15,3,-0.0873362445414847
periodic,2B,1,1,16,3,0.21451104100946383
periodic,2B,1,1,17,3,-0.0641025641025641
periodic,2B,1,1,18,3,0.04597701149425293
periodic,2B,1,1,19,3,-0.08008008008008005
periodic,2B,1,1,20,3,-0.08395522388059695
periodic,2B,1,1,21,3,-0.07559395248380119
periodic,2B,1,1,22,3,0.0
periodic,2B,1,1,23,3,0.04597701149425293
periodic,2B,1,1,24,3,-0.08008008008008005
periodic,2B,1,1,25,3,-0.035650623885918
periodic,2B,1,1,26,3,0.0
periodic,2B,1,1,27,3,-0.08008008008008005
periodic,2B,1,1,28,3,-0.090311986863711
periodic,2B,1,1,29,3,0.14871794871794863
periodic,2B,1,1,30,3,-0.056577086280056754
periodic,2B,1,1,31,3,-0.04731861198738163
periodic,2B,1,1,32,3,-0.035650623885918
periodic,2B,1,1,33,3,0.02639296187683271
periodic,2B,1,1,34,3,-0.056577086280056754
periodic,2B,1,1,35,3,0.08608608608608614
periodic,2B,1,1,36,3,-0.07559395248380119
periodic,2B,1,1,37,3,-0.09530791788856319
periodic,2B,1,1,38,3,-0.09530791788856319
periodic,2B,1,1,39,3,-0.020491803278688492
periodic,2B,1,1,40,3,-0.035650623885918
periodic,2B,1,1,41,3,-0.04731861198738163
periodic,2B,1,1,42,3,-0.090311986863711
tracked,2B,1,1,0,-2,-0.06400000000000006
tracked,2B,1,1,1,-2,-0.05660377358490565
tracked,2B,1,1,2,-2,-0.042553191489361764
tracked,2B,1,1,3,-2,-0.02941176470588247
tracked,2B,1,1,4,-2,0.08080808080808077
tracked,2B,1,1,5,-2,0.18333333333333335
tracked,2B,1,1,6,-2,-0.05263157894736836
tracked,2B,1,1,7,-2,-0.058139534883721034
tracked,2B,1,1,8,-2,-0.04672897196261694
tracked,2B,1,1,9,-2,-0.03703703703703698
tracked,2B,1,1,10,-2,-0.0616113744075828
tracked,2B,1,1,11,-2,0.0
tracked,2B,1,1,12,-2,0.0
tracked,2B,1,1,13,-2,-0.018181818181818077
tracked,2B,1,1,14,-2,0.12802768166089973
