exp_subject_id,Task_Name,space_press1,space_press2
377694,2B_1,"""times=1645558428591;1645558436346;1645558439554;1645558442290;1645558446849;1645558452825;1645558458056;1645558468425;1645558485679;1645558495030;1645558498505---values=;7749;10958;13694;18253;24228;29460;39829;57083;66434;69909""","""times=1645558428591;1645558517705;1645558525470;1645558538120;1645558541334;1645558555750;1645558570080---values=;5695;13460;26110;29324;43740;58070"""
377694,intact_3,"""times=1645558236381;1645558255094;1645558272299;1645558287570---values=;18704;35909;51180""","""times=1645558236381;1645558341714;1645558360199;1645558373937---values=;18948;37433;51171"""
377694,2B_2,"""times=1645557953985;1645557958936;1645557976209;1645557988340;1645557999772;1645558019274---values=;4946;22219;34350;45782;65284""","""times=1645557953985;1645558047667;1645558083232;1645558102694---values=;10266;45831;65293"""
377694,1B_1,"""times=1645557712235;1645557725026;1645557730427;1645557745895;1645557751990;1645557755583;1645557770576;1645557788039---values=;12788;18189;33657;39752;43345;58338;75801""","""times=1645557712235;1645557813835;1645557832391;1645557841591;1645557861270;1645557871609---values=;18201;36757;45957;65636;75975"""
377694,8B_1,"""times=1645557531244;1645557548126;1645557566787;1645557590011;1645557601215---values=;16872;35533;58757;69961""","""times=1645557531244;1645557637574;1645557654403;1645557664748;1645557668103;1645557688352;1645557703449---values=;18446;35275;45620;48975;69224;84321"""
377694,practice_task,"""times=1645557320067;1645557323536;1645557331298;1645557354267;1645557357257;1645557362673;1645557368294;1645557371658;1645557375292---values=6350;9819;17581;40550;43540;48956;54577;57941;61575""","""times=1645557388730;1645557392532;1645557399887;1645557421673;1645557426630;1645557436779;1645557440288;1645557444512---values=5474;9276;16631;38417;43374;53523;57032;61256"""
377692,2B_3,"""times=1645559590108;1645559609988;1645559615926;1645559652716;1645559671504---values=;19875;25812;62603;81391""","""times=1645559590109;1645559694578;1645559701280;1645559737455;1645559756625---values=;19575;26277;62452;81622"""
377692,intact_1,"""times=1645559408601;1645559442687;1645559473881---values=;34082;65276""","""times=1645559408601;1645559524125;1645559556228;1645559556524---values=;33613;65717;66013"""
377692,1B_3,"""times=1645559231915;1645559265395;1645559274873;1645559313034---values=;33469;42947;81109""","""times=1645559231915;1645559351099---values=;34297"""
377692,8B_3,"""times=1645559018329;1645559039021;1645559054605;1645559079672---values=;20686;36270;61337""","""times=1645559018329;1645559114614;1645559132773;1645559147960---values=;15831;33990;49176"""
377692,intact_2,"""times=1645558831618;1645558843791;1645558859591;1645558880020---values=;12163;27963;48392""","""times=1645558831618;1645558960582;1645558963353---values=;45559;48330"""
377692,1B_2,"""times=1645558660121;1645558671654;1645558697326;1645558707340;1645558726264---values=;11519;37191;47205;66129""","""times=1645558660121;1645558753750;1645558779721;1645558788370---values=;10203;36174;44823"""
377692,8B_2,"""times=1645558451553;1645558468600;1645558478752;1645558495625;1645558506637---values=;17039;27190;44063;55076""","""times=1645558451553;1645558536378;1645558552023;1645558563704;1645558579331;1645558587695---values=;1422;17067;28748;44375;52739"""
377692,intact_3,"""times=1645558273406;1645558289515;1645558310596;1645558324124;1645558338432---values=;16096;37177;50705;65013""","""times=1645558273406;1645558376196;1645558397230;1645558410582;1645558429873---values=;16399;37433;50785;70076"""
377692,2B_1,"""times=1645558102139;1645558104723;1645558117717;1645558133333;1645558158773;1645558167688---values=;2579;15573;31189;56629;65544""","""times=1645558102139;1645558187712;1645558200487;1645558215757;1645558226620;1645558242293---values=;2154;14929;30199;41062;56735"""
377692,1B_1,"""times=1645557856350;1645557862171;1645557872576;1645557890327;1645557898596;1645557922427---values=;5815;16220;33971;42240;66071""","""times=1645557856350;1645557944764;1645557955920;1645557982644---values=;4996;16152;42876"""
377692,2B_2,"""times=1645557685316;1645557712407;1645557731321;1645557749879---values=;27076;45990;64548""","""times=1645557685316;1645557795958;1645557808187;1645557815855;1645557828900;1645557834977---values=;27215;39444;47112;60157;66234"""
377692,8B_1,"""times=1645557500636;1645557520676;1645557536171;1645557546566;1645557555967;1645557570055---values=;20036;35531;45926;55327;69415""","""times=1645557500636;1645557606783;1645557624182;1645557632101;1645557642561;1645557660695---values=;18266;35665;43584;54044;72178"""
377692,practice_task,"""times=1645557287835;1645557301674;1645557322674;1645557341899---values=5411;19251;40251;59476""","""times=1645557357195;1645557369642;1645557391475;1645557396181;1645557405865---values=5200;17646;39480;44185;53870"""
377685,2B_2,"""times=1645559747279;1645559773261;1645559788265;1645559805795---values=;25964;40969;58499""","""times=1645559747279;1645559850888;1645559899559---values=;20187;68858"""
377685,intact_3,"""times=1645559566563;1645559610115;1645559619708;1645559645269---values=;43525;53118;78679""","""times=1645559566564;1645559673634;1645559689054;1645559700802;1645559711744;1645559722277---values=;20639;36059;47807;58749;69282"""
377685,8B_3,"""times=1645559255575;1645559274103;1645559287478;1645559328977---values=;18509;31884;73383""","""times=1645559255575;1645559344859;1645559383716---values=;8820;47677"""
377685,8B_2,"""times=1645559044496;1645559073671;1645559116304---values=;29150;71782""","""times=1645559044497;1645559145981;1645559175738---values=;18045;47802"""
